Type,XIP,request_size,count,time (ns),Bandwidth (GB/s)
Posix,No_XIP,512,8388608,13733158021,3.349557
Posix,No_XIP,1024,4194304,6768847542,6.795839
Posix,No_XIP,2048,2097152,3690674999,12.463845
Posix,No_XIP,4096,1048576,2127689403,21.619697
Posix,No_XIP,8192,524288,1507861923,30.506772
Posix,No_XIP,16384,262144,1254323563,36.673153
Posix,No_XIP,32768,131072,1098237642,41.885288
Posix,No_XIP,65536,65536,1006308128,45.711645
Posix,No_XIP,131072,32768,974072727,47.224400
Posix,No_XIP,262144,16384,954094058,48.213276
Posix,No_XIP,524288,8192,926830540,49.631511
Posix,No_XIP,1048576,4096,914726351,50.288264
Posix,No_XIP,512,8388608,11986388959,3.837686
Posix,No_XIP,1024,4194304,6817348489,6.747491
Posix,No_XIP,2048,2097152,3639423529,12.639364
Posix,No_XIP,4096,1048576,2155379633,21.341948
Posix,No_XIP,8192,524288,1512014527,30.422988
Posix,No_XIP,16384,262144,1260276979,36.499913
Posix,No_XIP,32768,131072,1084593690,42.412196
Posix,No_XIP,65536,65536,999378867,46.028590
Posix,No_XIP,131072,32768,969440971,47.450027
Posix,No_XIP,262144,16384,952990883,48.269087
Posix,No_XIP,524288,8192,927383446,49.601921
Posix,No_XIP,1048576,4096,917166003,50.154497
Posix,No_XIP,512,8388608,12277725103,3.746622
Posix,No_XIP,1024,4194304,6916929722,6.650349
Posix,No_XIP,2048,2097152,3767468148,12.209791
Posix,No_XIP,4096,1048576,2163144350,21.265340
Posix,No_XIP,8192,524288,1529472247,30.075734
Posix,No_XIP,16384,262144,1264458880,36.379198
Posix,No_XIP,32768,131072,1104135686,41.661546
Posix,No_XIP,65536,65536,1003794964,45.826092
Posix,No_XIP,131072,32768,976488571,47.107566
Posix,No_XIP,262144,16384,953110683,48.263020
Posix,No_XIP,524288,8192,926818700,49.632145
Posix,No_XIP,1048576,4096,916137720,50.210791
Posix,No_XIP,512,8388608,12089572934,3.804932
Posix,No_XIP,1024,4194304,6832756527,6.732276
Posix,No_XIP,2048,2097152,3730225844,12.331693
Posix,No_XIP,4096,1048576,2148975120,21.405553
Posix,No_XIP,8192,524288,1517982123,30.303387
Posix,No_XIP,16384,262144,1256203208,36.618279
Posix,No_XIP,32768,131072,1099718918,41.828870
Posix,No_XIP,65536,65536,987862810,46.565170
Posix,No_XIP,131072,32768,966731630,47.583009
Posix,No_XIP,262144,16384,951991253,48.319772
Posix,No_XIP,524288,8192,926052074,49.673233
Posix,No_XIP,1048576,4096,915774311,50.230717
Posix,No_XIP,512,8388608,12073094248,3.810125
Posix,No_XIP,1024,4194304,6822967386,6.741935
Posix,No_XIP,2048,2097152,3727679840,12.340116
Posix,No_XIP,4096,1048576,2141379037,21.481484
Posix,No_XIP,8192,524288,1514027270,30.382544
Posix,No_XIP,16384,262144,1259960769,36.509073
Posix,No_XIP,32768,131072,1096544173,41.949974
Posix,No_XIP,65536,65536,996994238,46.138682
Posix,No_XIP,131072,32768,970315545,47.407259
Posix,No_XIP,262144,16384,952973297,48.269978
Posix,No_XIP,524288,8192,931717379,49.371195
Posix,No_XIP,1048576,4096,918227871,50.096497
Posix,No_XIP,512,8388608,12218781099,3.764696
Posix,No_XIP,1024,4194304,6773424025,6.791248
Posix,No_XIP,2048,2097152,3709516631,12.400537
Posix,No_XIP,4096,1048576,2151706190,21.378383
Posix,No_XIP,8192,524288,1526443112,30.135417
Posix,No_XIP,16384,262144,1264000267,36.392397
Posix,No_XIP,32768,131072,1099067658,41.853656
Posix,No_XIP,65536,65536,994758482,46.242380
Posix,No_XIP,131072,32768,975156004,47.171939
Posix,No_XIP,262144,16384,950699046,48.385449
Posix,No_XIP,524288,8192,925639465,49.695375
Posix,No_XIP,1048576,4096,915734303,50.232911
Posix,No_XIP,512,8388608,12112381839,3.797767
Posix,No_XIP,1024,4194304,6795219998,6.769464
Posix,No_XIP,2048,2097152,3709539262,12.400462
Posix,No_XIP,4096,1048576,2165132963,21.245808
