Type,XIP,request_size,file_size,count,time (ns),Bandwidth (GB/s)
Posix,No_XIP,512,4194304,8192,11565986,0.362641
Posix,No_XIP,1024,4194304,4096,5835331,0.718777
Posix,No_XIP,2048,4194304,2048,2980284,1.407350
Posix,No_XIP,4096,4194304,1024,1589579,2.638626
Posix,No_XIP,8192,4194304,512,1041425,4.027466
Posix,No_XIP,16384,4194304,256,757706,5.535530
Posix,No_XIP,32768,4194304,128,643936,6.513542
Posix,No_XIP,65536,4194304,64,527210,7.955661
Posix,No_XIP,131072,4194304,32,533814,7.857239
Posix,No_XIP,262144,4194304,16,560086,7.488679
Posix,No_XIP,524288,4194304,8,551078,7.611090
Posix,No_XIP,1048576,4194304,4,548177,7.651368
Posix,No_XIP,512,4194304,8192,11625357,0.360789
Posix,No_XIP,1024,4194304,4096,5819371,0.720749
Posix,No_XIP,2048,4194304,2048,3111802,1.347870
Posix,No_XIP,4096,4194304,1024,1582806,2.649917
Posix,No_XIP,8192,4194304,512,999209,4.197624
Posix,No_XIP,16384,4194304,256,749214,5.598272
Posix,No_XIP,32768,4194304,128,643781,6.515110
Posix,No_XIP,65536,4194304,64,543501,7.717196
Posix,No_XIP,131072,4194304,32,516371,8.122656
Posix,No_XIP,262144,4194304,16,582851,7.196186
Posix,No_XIP,524288,4194304,8,540806,7.755654
Posix,No_XIP,1048576,4194304,4,551105,7.610717
Posix,No_XIP,512,4194304,8192,11206452,0.374276
Posix,No_XIP,1024,4194304,4096,5823968,0.720180
Posix,No_XIP,2048,4194304,2048,2992495,1.401608
Posix,No_XIP,4096,4194304,1024,1550029,2.705952
Posix,No_XIP,8192,4194304,512,1010454,4.150910
Posix,No_XIP,16384,4194304,256,741010,5.660253
Posix,No_XIP,32768,4194304,128,639433,6.559411
Posix,No_XIP,65536,4194304,64,525364,7.983615
Posix,No_XIP,131072,4194304,32,523472,8.012471
Posix,No_XIP,262144,4194304,16,562625,7.454884
Posix,No_XIP,524288,4194304,8,540268,7.763377
Posix,No_XIP,1048576,4194304,4,575846,7.283725
