Type,XIP,request_size,file_size,count,time (ns),Bandwidth (GB/s)
Posix,No_XIP,512,4194304,8192,11476279,0.365476
Posix,No_XIP,1024,4194304,4096,5963739,0.703301
Posix,No_XIP,2048,4194304,2048,3100401,1.352826
Posix,No_XIP,4096,4194304,1024,1633226,2.568110
Posix,No_XIP,8192,4194304,512,1007193,4.164350
Posix,No_XIP,16384,4194304,256,770943,5.440485
Posix,No_XIP,32768,4194304,128,602128,6.965801
Posix,No_XIP,65536,4194304,64,541022,7.752557
Posix,No_XIP,131072,4194304,32,534375,7.848990
Posix,No_XIP,262144,4194304,16,553314,7.580332
Posix,No_XIP,524288,4194304,8,564121,7.435114
Posix,No_XIP,1048576,4194304,4,546803,7.670594
Posix,No_XIP,512,4194304,8192,11536134,0.363580
Posix,No_XIP,1024,4194304,4096,5810706,0.721823
Posix,No_XIP,2048,4194304,2048,2979331,1.407801
Posix,No_XIP,4096,4194304,1024,1660116,2.526513
Posix,No_XIP,8192,4194304,512,998846,4.199150
Posix,No_XIP,16384,4194304,256,770108,5.446384
Posix,No_XIP,32768,4194304,128,614708,6.823246
Posix,No_XIP,65536,4194304,64,535026,7.839440
Posix,No_XIP,131072,4194304,32,550127,7.624247
Posix,No_XIP,262144,4194304,16,545922,7.682973
Posix,No_XIP,524288,4194304,8,562737,7.453400
Posix,No_XIP,1048576,4194304,4,559876,7.491487
Posix,No_XIP,512,4194304,8192,12230523,0.342937
Posix,No_XIP,1024,4194304,4096,6333477,0.662244
Posix,No_XIP,2048,4194304,2048,3046215,1.376890
Posix,No_XIP,4096,4194304,1024,1558480,2.691279
Posix,No_XIP,8192,4194304,512,1034675,4.053741
Posix,No_XIP,16384,4194304,256,761953,5.504675
Posix,No_XIP,32768,4194304,128,667045,6.287888
Posix,No_XIP,65536,4194304,64,534604,7.845628
Posix,No_XIP,131072,4194304,32,549843,7.628185
Posix,No_XIP,262144,4194304,16,591388,7.092305
Posix,No_XIP,524288,4194304,8,537195,7.807787
Posix,No_XIP,1048576,4194304,4,587254,7.142231
Posix,No_XIP,512,4194304,8192,12380971,0.338770
Posix,No_XIP,1024,4194304,4096,6093853,0.688284
Posix,No_XIP,2048,4194304,2048,3132754,1.338855
Posix,No_XIP,4096,4194304,1024,1648889,2.543715
Posix,No_XIP,8192,4194304,512,1091436,3.842923
Posix,No_XIP,16384,4194304,256,755018,5.555237
Posix,No_XIP,32768,4194304,128,626079,6.699321
Posix,No_XIP,65536,4194304,64,540674,7.757547
Posix,No_XIP,131072,4194304,32,516874,8.114751
Posix,No_XIP,262144,4194304,16,567147,7.395444
Posix,No_XIP,524288,4194304,8,541754,7.742082
Posix,No_XIP,1048576,4194304,4,544859,7.697962
Posix,No_XIP,512,4194304,8192,12161320,0.344889
Posix,No_XIP,1024,4194304,4096,5847879,0.717235
Posix,No_XIP,2048,4194304,2048,2984467,1.405378
Posix,No_XIP,4096,4194304,1024,1566515,2.677475
Posix,No_XIP,8192,4194304,512,1008845,4.157531
Posix,No_XIP,16384,4194304,256,774884,5.412815
Posix,No_XIP,32768,4194304,128,626491,6.694915
Posix,No_XIP,65536,4194304,64,531186,7.896112
Posix,No_XIP,131072,4194304,32,538457,7.789487
Posix,No_XIP,262144,4194304,16,544110,7.708559
Posix,No_XIP,524288,4194304,8,562074,7.462192
Posix,No_XIP,1048576,4194304,4,565164,7.421393
Posix,No_XIP,512,4194304,8192,11427632,0.367032
Posix,No_XIP,1024,4194304,4096,5981451,0.701218
Posix,No_XIP,2048,4194304,2048,3010334,1.393302
Posix,No_XIP,4096,4194304,1024,1592930,2.633075
Posix,No_XIP,8192,4194304,512,1017470,4.122288
Posix,No_XIP,16384,4194304,256,766487,5.472114
Posix,No_XIP,32768,4194304,128,598952,7.002738
Posix,No_XIP,65536,4194304,64,543807,7.712854
Posix,No_XIP,131072,4194304,32,527786,7.946979
Posix,No_XIP,262144,4194304,16,547774,7.656997
Posix,No_XIP,524288,4194304,8,566933,7.398236
Posix,No_XIP,1048576,4194304,4,549960,7.626562
Posix,No_XIP,512,4194304,8192,11406502,0.367712
Posix,No_XIP,1024,4194304,4096,5996262,0.699486
Posix,No_XIP,2048,4194304,2048,3027970,1.385187
Posix,No_XIP,4096,4194304,1024,1623921,2.582825
Posix,No_XIP,8192,4194304,512,1007081,4.164813
Posix,No_XIP,16384,4194304,256,759240,5.524345
Posix,No_XIP,32768,4194304,128,603936,6.944948
Posix,No_XIP,65536,4194304,64,561728,7.466788
Posix,No_XIP,131072,4194304,32,513033,8.175505
Posix,No_XIP,262144,4194304,16,563936,7.437553
Posix,No_XIP,524288,4194304,8,556501,7.536921
Posix,No_XIP,1048576,4194304,4,537914,7.797351
Posix,No_XIP,512,4194304,8192,11210623,0.374137
Posix,No_XIP,1024,4194304,4096,5790230,0.724376
Posix,No_XIP,2048,4194304,2048,2985264,1.405003
Posix,No_XIP,4096,4194304,1024,1720014,2.438529
Posix,No_XIP,8192,4194304,512,982739,4.267973
Posix,No_XIP,16384,4194304,256,766668,5.470822
Posix,No_XIP,32768,4194304,128,621870,6.744664
Posix,No_XIP,65536,4194304,64,509765,8.227917
Posix,No_XIP,131072,4194304,32,532335,7.879069
Posix,No_XIP,262144,4194304,16,534341,7.849489
Posix,No_XIP,524288,4194304,8,546345,7.677025
Posix,No_XIP,1048576,4194304,4,562237,7.460028
Posix,No_XIP,512,4194304,8192,11673218,0.359310
Posix,No_XIP,1024,4194304,4096,5877726,0.713593
Posix,No_XIP,2048,4194304,2048,3049162,1.375560
Posix,No_XIP,4096,4194304,1024,1624753,2.581503
Posix,No_XIP,8192,4194304,512,1008863,4.157456
Posix,No_XIP,16384,4194304,256,772679,5.428262
Posix,No_XIP,32768,4194304,128,609996,6.875953
Posix,No_XIP,65536,4194304,64,509489,8.232374
Posix,No_XIP,131072,4194304,32,516575,8.119448
Posix,No_XIP,262144,4194304,16,536373,7.819752
Posix,No_XIP,524288,4194304,8,546384,7.676477
Posix,No_XIP,1048576,4194304,4,547466,7.661305
Posix,No_XIP,512,4194304,8192,11752247,0.356894
Posix,No_XIP,1024,4194304,4096,5945978,0.705402
Posix,No_XIP,2048,4194304,2048,3028883,1.384769
Posix,No_XIP,4096,4194304,1024,1682331,2.493150
Posix,No_XIP,8192,4194304,512,1015432,4.130561
Posix,No_XIP,16384,4194304,256,775503,5.408495
Posix,No_XIP,32768,4194304,128,629829,6.659433
Posix,No_XIP,65536,4194304,64,519135,8.079409
Posix,No_XIP,131072,4194304,32,522734,8.023783
Posix,No_XIP,262144,4194304,16,536850,7.812804
Posix,No_XIP,524288,4194304,8,549914,7.627200
Posix,No_XIP,1048576,4194304,4,565111,7.422089
Quill,No_XIP,512,4194304,8192,12804263,0.327571
Quill,No_XIP,1024,4194304,4096,4926060,0.851452
Quill,No_XIP,2048,4194304,2048,2534741,1.654727
Quill,No_XIP,4096,4194304,1024,1377877,3.044034
Quill,No_XIP,8192,4194304,512,811668,5.167512
Quill,No_XIP,16384,4194304,256,547954,7.654482
Quill,No_XIP,32768,4194304,128,492919,8.509114
Quill,No_XIP,65536,4194304,64,415339,10.098507
Quill,No_XIP,131072,4194304,32,374086,11.212138
Quill,No_XIP,262144,4194304,16,403469,10.395604
Quill,No_XIP,524288,4194304,8,390086,10.752255
Quill,No_XIP,1048576,4194304,4,684764,6.125182
Quill,No_XIP,512,4194304,8192,26354397,0.159150
Quill,No_XIP,1024,4194304,4096,8255128,0.508085
Quill,No_XIP,2048,4194304,2048,2557050,1.640290
Quill,No_XIP,4096,4194304,1024,1391909,3.013346
Quill,No_XIP,8192,4194304,512,820364,5.112735
Quill,No_XIP,16384,4194304,256,543994,7.710203
Quill,No_XIP,32768,4194304,128,517730,8.101335
Quill,No_XIP,65536,4194304,64,410663,10.213494
Quill,No_XIP,131072,4194304,32,404862,10.359836
Quill,No_XIP,262144,4194304,16,401151,10.455674
Quill,No_XIP,524288,4194304,8,403473,10.395501
Quill,No_XIP,1048576,4194304,4,591109,7.095652
