FS,Type,request_size,file_size,count,time (ns),Bandwidth (GB/s)
PMFS,Posix,524288,1073741824,2048,108496288,9.896577
PMFS,Posix,1048576,1073741824,1024,107523748,9.986090
PMFS,Posix,2097152,1073741824,512,107500554,9.988245
PMFS,Posix,4194304,1073741824,256,108578503,9.889083
PMFS,Posix,8388608,1073741824,128,143402309,7.487619
PMFS,Posix,16777216,1073741824,64,204071755,5.261590
PMFS,Posix,33554432,1073741824,32,219514317,4.891443
PMFS,Posix,67108864,1073741824,16,261112274,4.112184
PMFS,Posix-mmap,512,1073741824,2097152,125092238,8.583601
PMFS,Posix-mmap,1024,1073741824,1048576,98550930,10.895299
PMFS,Posix-mmap,2048,1073741824,524288,98437150,10.907892
PMFS,Posix-mmap,4096,1073741824,262144,105315213,10.195505
PMFS,Posix-mmap,8192,1073741824,131072,99370873,10.805398
PMFS,Posix-mmap,16384,1073741824,65536,98482661,10.902851
PMFS,Posix-mmap,32768,1073741824,32768,98665850,10.882609
PMFS,Posix-mmap,65536,1073741824,16384,99665260,10.773481
PMFS,Posix-mmap,131072,1073741824,8192,99142035,10.830339
PMFS,Posix-mmap,262144,1073741824,4096,99980104,10.739555
PMFS,Posix-mmap,524288,1073741824,2048,100777981,10.654528
PMFS,Posix-mmap,1048576,1073741824,1024,103622084,10.362094
PMFS,Posix-mmap,2097152,1073741824,512,113108882,9.492993
PMFS,Posix-mmap,4194304,1073741824,256,132574676,8.099147
PMFS,Posix-mmap,8388608,1073741824,128,156027960,6.881727
PMFS,Posix-mmap,16777216,1073741824,64,199065096,5.393923
PMFS,Posix-mmap,33554432,1073741824,32,201633949,5.325204
PMFS,Posix-mmap,67108864,1073741824,16,222144170,4.833536
PMFS,Posix,512,1073741824,2097152,838772270,1.280135
PMFS,Posix,1024,1073741824,1048576,448419237,2.394504
PMFS,Posix,2048,1073741824,524288,268556085,3.998203
PMFS,Posix,4096,1073741824,262144,168112680,6.387037
PMFS,Posix,8192,1073741824,131072,189306664,5.671971
PMFS,Posix,16384,1073741824,65536,147241274,7.292397
PMFS,Posix,32768,1073741824,32768,126348530,8.498253
PMFS,Posix,65536,1073741824,16384,118786428,9.039264
PMFS,Posix,131072,1073741824,8192,111253325,9.651323
PMFS,Posix,262144,1073741824,4096,121695972,8.823150
PMFS,Posix,524288,1073741824,2048,108564098,9.890395
PMFS,Posix,1048576,1073741824,1024,107419565,9.995775
PMFS,Posix,2097152,1073741824,512,107477389,9.990397
PMFS,Posix,4194304,1073741824,256,108647321,9.882819
PMFS,Posix,8388608,1073741824,128,142903085,7.513776
PMFS,Posix,16777216,1073741824,64,206254120,5.205917
PMFS,Posix,33554432,1073741824,32,250874371,4.279998
PMFS,Posix,67108864,1073741824,16,266452574,4.029767
PMFS,Posix-mmap,512,1073741824,2097152,126017974,8.520545
PMFS,Posix-mmap,1024,1073741824,1048576,98420842,10.909700
PMFS,Posix-mmap,2048,1073741824,524288,98039781,10.952103
PMFS,Posix-mmap,4096,1073741824,262144,105252538,10.201577
PMFS,Posix-mmap,8192,1073741824,131072,98830500,10.864478
PMFS,Posix-mmap,16384,1073741824,65536,98832415,10.864268
PMFS,Posix-mmap,32768,1073741824,32768,100340703,10.700960
PMFS,Posix-mmap,65536,1073741824,16384,99294542,10.813704
PMFS,Posix-mmap,131072,1073741824,8192,99038917,10.841615
PMFS,Posix-mmap,262144,1073741824,4096,99720834,10.767477
PMFS,Posix-mmap,524288,1073741824,2048,100062053,10.730759
PMFS,Posix-mmap,1048576,1073741824,1024,102735633,10.451503
PMFS,Posix-mmap,2097152,1073741824,512,113660617,9.446912
PMFS,Posix-mmap,4194304,1073741824,256,133399772,8.049053
PMFS,Posix-mmap,8388608,1073741824,128,154464040,6.951403
PMFS,Posix-mmap,16777216,1073741824,64,183940652,5.837436
PMFS,Posix-mmap,33554432,1073741824,32,201578992,5.326655
PMFS,Posix-mmap,67108864,1073741824,16,208161729,5.158210
PMFS,Posix,512,1073741824,2097152,838249638,1.280933
PMFS,Posix,1024,1073741824,1048576,452762372,2.371535
PMFS,Posix,2048,1073741824,524288,259478686,4.138073
PMFS,Posix,4096,1073741824,262144,167980714,6.392054
PMFS,Posix,8192,1073741824,131072,189362703,5.670292
PMFS,Posix,16384,1073741824,65536,144246152,7.443816
PMFS,Posix,32768,1073741824,32768,126496118,8.488338
PMFS,Posix,65536,1073741824,16384,130028160,8.257764
PMFS,Posix,131072,1073741824,8192,111373073,9.640946
PMFS,Posix,262144,1073741824,4096,109206146,9.832247
PMFS,Posix,524288,1073741824,2048,108470430,9.898936
PMFS,Posix,1048576,1073741824,1024,107444077,9.993495
PMFS,Posix,2097152,1073741824,512,107864788,9.954517
PMFS,Posix,4194304,1073741824,256,108445186,9.901240
PMFS,Posix,8388608,1073741824,128,141116020,7.608929
PMFS,Posix,16777216,1073741824,64,217866482,4.928440
PMFS,Posix,33554432,1073741824,32,238584255,4.500472
PMFS,Posix,67108864,1073741824,16,264503992,4.059454
PMFS,Posix-mmap,512,1073741824,2097152,124704489,8.610290
PMFS,Posix-mmap,1024,1073741824,1048576,98934931,10.853010
PMFS,Posix-mmap,2048,1073741824,524288,98032836,10.952879
PMFS,Posix-mmap,4096,1073741824,262144,117917429,9.105879
PMFS,Posix-mmap,8192,1073741824,131072,99065528,10.838703
PMFS,Posix-mmap,16384,1073741824,65536,98476610,10.903521
PMFS,Posix-mmap,32768,1073741824,32768,98669036,10.882257
PMFS,Posix-mmap,65536,1073741824,16384,99524362,10.788734
PMFS,Posix-mmap,131072,1073741824,8192,102936604,10.431098
PMFS,Posix-mmap,262144,1073741824,4096,100039377,10.733192
PMFS,Posix-mmap,524288,1073741824,2048,99967361,10.740924
PMFS,Posix-mmap,1048576,1073741824,1024,102259004,10.500218
PMFS,Posix-mmap,2097152,1073741824,512,110780104,9.692551
PMFS,Posix-mmap,4194304,1073741824,256,132350590,8.112860
PMFS,Posix-mmap,8388608,1073741824,128,155510440,6.904629
PMFS,Posix-mmap,16777216,1073741824,64,186242520,5.765288
PMFS,Posix-mmap,33554432,1073741824,32,201972003,5.316290
PMFS,Posix-mmap,67108864,1073741824,16,209599852,5.122818
PMFS,Posix,512,1073741824,2097152,842014453,1.275206
PMFS,Posix,1024,1073741824,1048576,458401929,2.342359
PMFS,Posix,2048,1073741824,524288,261093680,4.112477
PMFS,Posix,4096,1073741824,262144,169034814,6.352193
PMFS,Posix,8192,1073741824,131072,190719722,5.629946
PMFS,Posix,16384,1073741824,65536,145204161,7.394704
PMFS,Posix,32768,1073741824,32768,127126127,8.446272
PMFS,Posix,65536,1073741824,16384,118033138,9.096952
PMFS,Posix,131072,1073741824,8192,111393704,9.639161
PMFS,Posix,262144,1073741824,4096,108880270,9.861675
PMFS,Posix,524288,1073741824,2048,121345173,8.848657
PMFS,Posix,1048576,1073741824,1024,107503373,9.987983
PMFS,Posix,2097152,1073741824,512,107570269,9.981771
PMFS,Posix,4194304,1073741824,256,110216145,9.742146
PMFS,Posix,8388608,1073741824,128,160429769,6.692909
PMFS,Posix,16777216,1073741824,64,205002686,5.237696
PMFS,Posix,33554432,1073741824,32,226335563,4.744026
PMFS,Posix,67108864,1073741824,16,267617972,4.012219
PMFS,Posix-mmap,512,1073741824,2097152,125046053,8.586771
PMFS,Posix-mmap,1024,1073741824,1048576,101145165,10.615849
PMFS,Posix-mmap,2048,1073741824,524288,97989874,10.957681
PMFS,Posix-mmap,4096,1073741824,262144,105149402,10.211583
PMFS,Posix-mmap,8192,1073741824,131072,99181306,10.826050
PMFS,Posix-mmap,16384,1073741824,65536,98555676,10.894774
PMFS,Posix-mmap,32768,1073741824,32768,102400800,10.485678
PMFS,Posix-mmap,65536,1073741824,16384,99462517,10.795442
PMFS,Posix-mmap,131072,1073741824,8192,99526660,10.788484
PMFS,Posix-mmap,262144,1073741824,4096,101300756,10.599544
PMFS,Posix-mmap,524288,1073741824,2048,100830137,10.649017
PMFS,Posix-mmap,1048576,1073741824,1024,102897857,10.435026
PMFS,Posix-mmap,2097152,1073741824,512,112164471,9.572923
PMFS,Posix-mmap,4194304,1073741824,256,133469032,8.044876
PMFS,Posix-mmap,8388608,1073741824,128,156507819,6.860627
PMFS,Posix-mmap,16777216,1073741824,64,187071404,5.739743
PMFS,Posix-mmap,33554432,1073741824,32,204481957,5.251035
PMFS,Posix-mmap,67108864,1073741824,16,222493510,4.825947
PMFS,Posix,512,1073741824,2097152,833659188,1.287987
PMFS,Posix,1024,1073741824,1048576,448488853,2.394133
PMFS,Posix,2048,1073741824,524288,259791032,4.133098
PMFS,Posix,4096,1073741824,262144,168016954,6.390675
PMFS,Posix,8192,1073741824,131072,200157932,5.364473
PMFS,Posix,16384,1073741824,65536,144957836,7.407270
PMFS,Posix,32768,1073741824,32768,126948197,8.458110
PMFS,Posix,65536,1073741824,16384,117469914,9.140569
PMFS,Posix,131072,1073741824,8192,123963858,8.661733
PMFS,Posix,262144,1073741824,4096,109365328,9.817936
PMFS,Posix,524288,1073741824,2048,108380174,9.907179
PMFS,Posix,1048576,1073741824,1024,108266770,9.917557
PMFS,Posix,2097152,1073741824,512,107925232,9.948942
PMFS,Posix,4194304,1073741824,256,108444782,9.901277
PMFS,Posix,8388608,1073741824,128,146195919,7.344540
PMFS,Posix,16777216,1073741824,64,205574892,5.223118
PMFS,Posix,33554432,1073741824,32,223358897,4.807249
PMFS,Posix,67108864,1073741824,16,257275179,4.173515
PMFS,Posix-mmap,512,1073741824,2097152,125627922,8.547000
PMFS,Posix-mmap,1024,1073741824,1048576,98597558,10.890146
PMFS,Posix-mmap,2048,1073741824,524288,98292937,10.923896
PMFS,Posix-mmap,4096,1073741824,262144,106101473,10.119952
PMFS,Posix-mmap,8192,1073741824,131072,103367351,10.387630
PMFS,Posix-mmap,16384,1073741824,65536,98645648,10.884837
PMFS,Posix-mmap,32768,1073741824,32768,98986879,10.847315
PMFS,Posix-mmap,65536,1073741824,16384,99622189,10.778139
PMFS,Posix-mmap,131072,1073741824,8192,99596199,10.780952
PMFS,Posix-mmap,262144,1073741824,4096,101487444,10.580046
PMFS,Posix-mmap,524288,1073741824,2048,100594122,10.674002
PMFS,Posix-mmap,1048576,1073741824,1024,103017898,10.422867
PMFS,Posix-mmap,2097152,1073741824,512,112815603,9.517671
PMFS,Posix-mmap,4194304,1073741824,256,150025043,7.157084
PMFS,Posix-mmap,8388608,1073741824,128,157099457,6.834790
PMFS,Posix-mmap,16777216,1073741824,64,186944676,5.743634
PMFS,Posix-mmap,33554432,1073741824,32,215957369,4.972008
PMFS,Posix-mmap,67108864,1073741824,16,209640401,5.121827
PMFS,Posix,512,1073741824,2097152,838937587,1.279883
PMFS,Posix,1024,1073741824,1048576,454702556,2.361416
PMFS,Posix,2048,1073741824,524288,259860812,4.131988
PMFS,Posix,4096,1073741824,262144,178551289,6.013632
PMFS,Posix,8192,1073741824,131072,189694823,5.660364
PMFS,Posix,16384,1073741824,65536,144468680,7.432350
PMFS,Posix,32768,1073741824,32768,127469966,8.423489
PMFS,Posix,65536,1073741824,16384,117511647,9.137323
PMFS,Posix,131072,1073741824,8192,111781033,9.605760
PMFS,Posix,262144,1073741824,4096,109202135,9.832608
PMFS,Posix,524288,1073741824,2048,108361955,9.908845
PMFS,Posix,1048576,1073741824,1024,120199746,8.932979
PMFS,Posix,2097152,1073741824,512,107515620,9.986845
PMFS,Posix,4194304,1073741824,256,108511758,9.895166
PMFS,Posix,8388608,1073741824,128,143973875,7.457893
PMFS,Posix,16777216,1073741824,64,206145349,5.208664
PMFS,Posix,33554432,1073741824,32,237353866,4.523802
PMFS,Posix,67108864,1073741824,16,264248602,4.063378
PMFS,Posix-mmap,512,1073741824,2097152,125121232,8.581612
PMFS,Posix-mmap,1024,1073741824,1048576,98533967,10.897174
PMFS,Posix-mmap,2048,1073741824,524288,102370081,10.488825
PMFS,Posix-mmap,4096,1073741824,262144,105148785,10.211643
PMFS,Posix-mmap,8192,1073741824,131072,99184349,10.825718
PMFS,Posix-mmap,16384,1073741824,65536,98596894,10.890220
PMFS,Posix-mmap,32768,1073741824,32768,98815239,10.866156
PMFS,Posix-mmap,65536,1073741824,16384,100057100,10.731291
PMFS,Posix-mmap,131072,1073741824,8192,99166401,10.827678
PMFS,Posix-mmap,262144,1073741824,4096,99547130,10.786266
PMFS,Posix-mmap,524288,1073741824,2048,100733364,10.659247
PMFS,Posix-mmap,1048576,1073741824,1024,102669480,10.458238
PMFS,Posix-mmap,2097152,1073741824,512,112053322,9.582418
PMFS,Posix-mmap,4194304,1073741824,256,133445913,8.046270
PMFS,Posix-mmap,8388608,1073741824,128,155977439,6.883956
PMFS,Posix-mmap,16777216,1073741824,64,200765868,5.348229
PMFS,Posix-mmap,33554432,1073741824,32,202367416,5.305903
PMFS,Posix-mmap,67108864,1073741824,16,209368979,5.128467
PMFS,Posix,512,1073741824,2097152,838915273,1.279917
PMFS,Posix,1024,1073741824,1048576,448515179,2.393992
PMFS,Posix,2048,1073741824,524288,268460214,3.999631
PMFS,Posix,4096,1073741824,262144,168219176,6.382993
PMFS,Posix,8192,1073741824,131072,189301161,5.672135
PMFS,Posix,16384,1073741824,65536,155954130,6.884985
PMFS,Posix,32768,1073741824,32768,127240125,8.438705
PMFS,Posix,65536,1073741824,16384,117549357,9.134391
PMFS,Posix,131072,1073741824,8192,112005572,9.586504
PMFS,Posix,262144,1073741824,4096,122244858,8.783534
PMFS,Posix,524288,1073741824,2048,108518793,9.894524
PMFS,Posix,1048576,1073741824,1024,107461831,9.991844
PMFS,Posix,2097152,1073741824,512,107850479,9.955837
PMFS,Posix,4194304,1073741824,256,108680955,9.879761
PMFS,Posix,8388608,1073741824,128,140432594,7.645959
PMFS,Posix,16777216,1073741824,64,205511491,5.224729
PMFS,Posix,33554432,1073741824,32,244258723,4.395920
PMFS,Posix,67108864,1073741824,16,267158918,4.019113
PMFS,Posix-mmap,512,1073741824,2097152,136944074,7.840732
PMFS,Posix-mmap,1024,1073741824,1048576,98735548,10.874926
PMFS,Posix-mmap,2048,1073741824,524288,98153794,10.939382
PMFS,Posix-mmap,4096,1073741824,262144,105818451,10.147019
PMFS,Posix-mmap,8192,1073741824,131072,99520931,10.789105
PMFS,Posix-mmap,16384,1073741824,65536,111591851,9.622045
PMFS,Posix-mmap,32768,1073741824,32768,98688110,10.880154
PMFS,Posix-mmap,65536,1073741824,16384,99564378,10.784397
PMFS,Posix-mmap,131072,1073741824,8192,99587177,10.781929
PMFS,Posix-mmap,262144,1073741824,4096,100040923,10.733026
PMFS,Posix-mmap,524288,1073741824,2048,103918810,10.332507
PMFS,Posix-mmap,1048576,1073741824,1024,102955827,10.429151
PMFS,Posix-mmap,2097152,1073741824,512,112419851,9.551176
PMFS,Posix-mmap,4194304,1073741824,256,134459141,7.985636
PMFS,Posix-mmap,8388608,1073741824,128,171286860,6.268676
PMFS,Posix-mmap,16777216,1073741824,64,185561149,5.786458
PMFS,Posix-mmap,33554432,1073741824,32,202331431,5.306846
PMFS,Posix-mmap,67108864,1073741824,16,209559809,5.123797
PMFS,Quill,512,1073741824,2097152,536543158,2.001222
PMFS,Quill,1024,1073741824,1048576,312556560,3.435352
PMFS,Quill,2048,1073741824,524288,198297929,5.414791
PMFS,Quill,4096,1073741824,262144,174104204,6.167237
PMFS,Quill,8192,1073741824,131072,130404178,8.233953
PMFS,Quill,16384,1073741824,65536,114744762,9.357654
PMFS,Quill,32768,1073741824,32768,107607678,9.978301
PMFS,Quill,65536,1073741824,16384,117243909,9.158189
PMFS,Quill,131072,1073741824,8192,101780458,10.549587
PMFS,Quill,262144,1073741824,4096,100944730,10.636928
PMFS,Quill,524288,1073741824,2048,101454206,10.583512
PMFS,Quill,1048576,1073741824,1024,104860461,10.239721
PMFS,Quill,2097152,1073741824,512,127178777,8.442775
PMFS,Quill,4194304,1073741824,256,133805546,8.024644
PMFS,Quill,8388608,1073741824,128,157253771,6.828083
PMFS,Quill,16777216,1073741824,64,201417433,5.330928
PMFS,Quill,33554432,1073741824,32,203417241,5.278519
PMFS,Quill,67108864,1073741824,16,209288802,5.130431
PMFS,Quill-mmap,512,1073741824,2097152,125583727,8.550008
PMFS,Quill-mmap,1024,1073741824,1048576,98808137,10.866937
PMFS,Quill-mmap,2048,1073741824,524288,97821756,10.976513
PMFS,Quill-mmap,4096,1073741824,262144,116043314,9.252940
PMFS,Quill-mmap,8192,1073741824,131072,99651539,10.774965
PMFS,Quill-mmap,16384,1073741824,65536,98746363,10.873735
PMFS,Quill-mmap,32768,1073741824,32768,98420559,10.909731
PMFS,Quill-mmap,65536,1073741824,16384,99235191,10.820172
PMFS,Quill-mmap,131072,1073741824,8192,109473144,9.808267
PMFS,Quill-mmap,262144,1073741824,4096,99455599,10.796193
PMFS,Quill-mmap,524288,1073741824,2048,101024155,10.628565
PMFS,Quill-mmap,1048576,1073741824,1024,104248806,10.299800
PMFS,Quill-mmap,2097152,1073741824,512,111567297,9.624163
PMFS,Quill-mmap,4194304,1073741824,256,146083905,7.350172
PMFS,Quill-mmap,8388608,1073741824,128,154550837,6.947499
PMFS,Quill-mmap,16777216,1073741824,64,186074554,5.770493
PMFS,Quill-mmap,33554432,1073741824,32,203003616,5.289274
PMFS,Quill-mmap,67108864,1073741824,16,208720414,5.144403
PMFS,Quill,512,1073741824,2097152,617535641,1.738753
PMFS,Quill,1024,1073741824,1048576,348562633,3.080485
PMFS,Quill,2048,1073741824,524288,216660359,4.955876
PMFS,Quill,4096,1073741824,262144,171646305,6.255549
PMFS,Quill,8192,1073741824,131072,134271878,7.996774
PMFS,Quill,16384,1073741824,65536,128560419,8.352040
PMFS,Quill,32768,1073741824,32768,108171179,9.926321
PMFS,Quill,65536,1073741824,16384,103610313,10.363272
PMFS,Quill,131072,1073741824,8192,101170892,10.613150
PMFS,Quill,262144,1073741824,4096,100715839,10.661102
PMFS,Quill,524288,1073741824,2048,100516832,10.682209
PMFS,Quill,1048576,1073741824,1024,103022440,10.422407
PMFS,Quill,2097152,1073741824,512,113953266,9.422651
PMFS,Quill,4194304,1073741824,256,134657127,7.973895
PMFS,Quill,8388608,1073741824,128,157233430,6.828966
PMFS,Quill,16777216,1073741824,64,186320767,5.762867
PMFS,Quill,33554432,1073741824,32,202386012,5.305415
PMFS,Quill,67108864,1073741824,16,208531685,5.149058
PMFS,Quill-mmap,512,1073741824,2097152,125523669,8.554098
PMFS,Quill-mmap,1024,1073741824,1048576,112117451,9.576938
PMFS,Quill-mmap,2048,1073741824,524288,97740930,10.985590
PMFS,Quill-mmap,4096,1073741824,262144,106310069,10.100095
PMFS,Quill-mmap,8192,1073741824,131072,99510030,10.790287
PMFS,Quill-mmap,16384,1073741824,65536,98606265,10.889185
PMFS,Quill-mmap,32768,1073741824,32768,101822060,10.545277
PMFS,Quill-mmap,65536,1073741824,16384,99282122,10.815057
PMFS,Quill-mmap,131072,1073741824,8192,98786885,10.869275
PMFS,Quill-mmap,262144,1073741824,4096,99249037,10.818662
PMFS,Quill-mmap,524288,1073741824,2048,100912871,10.640286
PMFS,Quill-mmap,1048576,1073741824,1024,102003167,10.526554
PMFS,Quill-mmap,2097152,1073741824,512,111165651,9.658935
PMFS,Quill-mmap,4194304,1073741824,256,133011775,8.072532
PMFS,Quill-mmap,8388608,1073741824,128,155736969,6.894585
PMFS,Quill-mmap,16777216,1073741824,64,186358141,5.761711
PMFS,Quill-mmap,33554432,1073741824,32,203197148,5.284237
PMFS,Quill-mmap,67108864,1073741824,16,221870445,4.839499
PMFS,Quill,512,1073741824,2097152,611963584,1.754585
PMFS,Quill,1024,1073741824,1048576,348828125,3.078140
PMFS,Quill,2048,1073741824,524288,217016183,4.947750
PMFS,Quill,4096,1073741824,262144,181850011,5.904546
PMFS,Quill,8192,1073741824,131072,133927349,8.017345
PMFS,Quill,16384,1073741824,65536,116409508,9.223833
PMFS,Quill,32768,1073741824,32768,108560175,9.890753
PMFS,Quill,65536,1073741824,16384,117278461,9.155490
PMFS,Quill,131072,1073741824,8192,101176824,10.612527
PMFS,Quill,262144,1073741824,4096,100538328,10.679925
PMFS,Quill,524288,1073741824,2048,100569503,10.676615
PMFS,Quill,1048576,1073741824,1024,103573056,10.367000
PMFS,Quill,2097152,1073741824,512,113616452,9.450584
PMFS,Quill,4194304,1073741824,256,132588931,8.098276
PMFS,Quill,8388608,1073741824,128,159048501,6.751034
