Type,XIP,request_size,count,time (ns),Bandwidth (GB/s)
Quill,No_XIP,512,8192,9235066,0.454172
Quill,No_XIP,1024,4096,4733787,0.886036
Quill,No_XIP,2048,2048,2500844,1.677155
Quill,No_XIP,4096,1024,1354822,3.095834
Quill,No_XIP,8192,512,787624,5.325262
Quill,No_XIP,16384,256,527523,7.950941
Quill,No_XIP,32768,128,482599,8.691075
Quill,No_XIP,65536,64,384514,10.908066
Quill,No_XIP,131072,32,390023,10.753991
Quill,No_XIP,262144,16,404767,10.362268
Quill,No_XIP,524288,8,397987,10.538796
Quill,No_XIP,1048576,4,456493,9.188101
Quill,No_XIP,512,8192,9270239,0.452448
Quill,No_XIP,1024,4096,4776275,0.878154
Quill,No_XIP,2048,2048,2528231,1.658988
Quill,No_XIP,4096,1024,1368884,3.064032
Quill,No_XIP,8192,512,796322,5.267095
Quill,No_XIP,16384,256,534193,7.851664
Quill,No_XIP,32768,128,492385,8.518342
Quill,No_XIP,65536,64,389408,10.770975
Quill,No_XIP,131072,32,390175,10.749802
Quill,No_XIP,262144,16,396887,10.568006
Quill,No_XIP,524288,8,407520,10.292265
Quill,No_XIP,1048576,4,456278,9.192431
Quill,No_XIP,512,8192,9176364,0.457077
Quill,No_XIP,1024,4096,4729270,0.886882
Quill,No_XIP,2048,2048,2505644,1.673943
Quill,No_XIP,4096,1024,1360944,3.081908
Quill,No_XIP,8192,512,781769,5.365145
Quill,No_XIP,16384,256,538334,7.791267
Quill,No_XIP,32768,128,484005,8.665828
Quill,No_XIP,65536,64,396390,10.581256
Quill,No_XIP,131072,32,377963,11.097129
Quill,No_XIP,262144,16,407266,10.298684
Quill,No_XIP,524288,8,388803,10.787736
Quill,No_XIP,1048576,4,461712,9.084243
Quill,No_XIP,512,8192,9174938,0.457148
Quill,No_XIP,1024,4096,4729518,0.886835
Quill,No_XIP,2048,2048,2506444,1.673408
Quill,No_XIP,4096,1024,1357944,3.088716
Quill,No_XIP,8192,512,792212,5.294421
Quill,No_XIP,16384,256,529719,7.917979
Quill,No_XIP,32768,128,492676,8.513311
Quill,No_XIP,65536,64,387499,10.824038
Quill,No_XIP,131072,32,388141,10.806135
Quill,No_XIP,262144,16,404045,10.380784
Quill,No_XIP,524288,8,398635,10.521665
Quill,No_XIP,1048576,4,456586,9.186230
Quill,No_XIP,512,8192,9184741,0.456660
Quill,No_XIP,1024,4096,4724143,0.887844
Quill,No_XIP,2048,2048,2515646,1.667287
Quill,No_XIP,4096,1024,1357587,3.089529
Quill,No_XIP,8192,512,790629,5.305022
Quill,No_XIP,16384,256,543353,7.719299
Quill,No_XIP,32768,128,467801,8.966001
Quill,No_XIP,65536,64,398003,10.538373
Quill,No_XIP,131072,32,362561,11.568547
Quill,No_XIP,262144,16,406344,10.322052
Quill,No_XIP,524288,8,397223,10.559066
Quill,No_XIP,1048576,4,475660,8.817861
