Type,XIP,request_size,count,time (ns),Bandwidth (GB/s)
Quill,No_XIP,512,8192,9188272,0.456485
Quill,No_XIP,1024,4096,4732238,0.886326
Quill,No_XIP,2048,2048,2502539,1.676019
Quill,No_XIP,4096,1024,1354277,3.097080
Quill,No_XIP,8192,512,787282,5.327575
Quill,No_XIP,16384,256,536220,7.821984
Quill,No_XIP,32768,128,473421,8.859565
Quill,No_XIP,65536,64,385823,10.871057
Quill,No_XIP,131072,32,390760,10.733709
Quill,No_XIP,262144,16,395647,10.601127
Quill,No_XIP,524288,8,408250,10.273862
Quill,No_XIP,1048576,4,466354,8.993820
Quill,No_XIP,512,8192,9186091,0.456593
Quill,No_XIP,1024,4096,4734542,0.885894
Quill,No_XIP,2048,2048,2503455,1.675406
Quill,No_XIP,4096,1024,1363753,3.075560
Quill,No_XIP,8192,512,788382,5.320142
Quill,No_XIP,16384,256,556639,7.535052
Quill,No_XIP,32768,128,469925,8.925475
Quill,No_XIP,65536,64,414169,10.127035
Quill,No_XIP,131072,32,392324,10.690919
Quill,No_XIP,262144,16,411422,10.194652
Quill,No_XIP,524288,8,387009,10.837743
Quill,No_XIP,1048576,4,471690,8.892077
Quill,No_XIP,512,8192,9177441,0.457023
Quill,No_XIP,1024,4096,4735101,0.885790
Quill,No_XIP,2048,2048,2498610,1.678655
Quill,No_XIP,4096,1024,1361449,3.080765
Quill,No_XIP,8192,512,786200,5.334907
Quill,No_XIP,16384,256,531370,7.893377
Quill,No_XIP,32768,128,492973,8.508182
Quill,No_XIP,65536,64,386178,10.861064
Quill,No_XIP,131072,32,392083,10.697490
Quill,No_XIP,262144,16,397313,10.556674
Quill,No_XIP,524288,8,420116,9.983681
Quill,No_XIP,1048576,4,469781,8.928211
Quill,No_XIP,512,8192,9182465,0.456773
Quill,No_XIP,1024,4096,4735669,0.885684
Quill,No_XIP,2048,2048,2498637,1.678637
Quill,No_XIP,4096,1024,1360092,3.083838
Quill,No_XIP,8192,512,785727,5.338119
Quill,No_XIP,16384,256,554713,7.561215
Quill,No_XIP,32768,128,462398,9.070766
Quill,No_XIP,65536,64,409993,10.230184
Quill,No_XIP,131072,32,378155,11.091494
Quill,No_XIP,262144,16,409835,10.234128
Quill,No_XIP,524288,8,386089,10.863568
Quill,No_XIP,1048576,4,473055,8.866419
Quill,No_XIP,512,8192,9178248,0.456983
Quill,No_XIP,1024,4096,4734934,0.885821
Quill,No_XIP,2048,2048,2498107,1.678993
Quill,No_XIP,4096,1024,1360715,3.082427
Quill,No_XIP,8192,512,788348,5.320371
Quill,No_XIP,16384,256,526244,7.970265
Quill,No_XIP,32768,128,490641,8.548621
Quill,No_XIP,65536,64,384202,10.916924
Quill,No_XIP,131072,32,391908,10.702267
Quill,No_XIP,262144,16,396005,10.591543
Quill,No_XIP,524288,8,407675,10.288352
Quill,No_XIP,1048576,4,455067,9.216893
Posix,No_XIP,512,8192,18043298,0.232458
Posix,No_XIP,1024,4096,6030113,0.695560
Posix,No_XIP,2048,2048,3036677,1.381215
Posix,No_XIP,4096,1024,1632148,2.569806
Posix,No_XIP,8192,512,1023991,4.096036
Posix,No_XIP,16384,256,787215,5.328029
Posix,No_XIP,32768,128,589708,7.112510
Posix,No_XIP,65536,64,544238,7.706746
Posix,No_XIP,131072,32,501851,8.357668
Posix,No_XIP,262144,16,543221,7.721174
Posix,No_XIP,524288,8,571002,7.345515
Posix,No_XIP,1048576,4,545365,7.690820
Posix,No_XIP,512,8192,11496941,0.364819
Posix,No_XIP,1024,4096,5864311,0.715225
Posix,No_XIP,2048,2048,3052386,1.374107
Posix,No_XIP,4096,1024,1601692,2.618671
Posix,No_XIP,8192,512,1006242,4.168286
Posix,No_XIP,16384,256,775338,5.409646
Posix,No_XIP,32768,128,614895,6.821171
Posix,No_XIP,65536,64,549391,7.634461
Posix,No_XIP,131072,32,498503,8.413799
Posix,No_XIP,262144,16,538232,7.792744
Posix,No_XIP,524288,8,568727,7.374899
Posix,No_XIP,1048576,4,538401,7.790298
Posix,No_XIP,512,8192,11228910,0.373527
Posix,No_XIP,1024,4096,5668644,0.739913
Posix,No_XIP,2048,2048,2960104,1.416945
Posix,No_XIP,4096,1024,1591222,2.635901
Posix,No_XIP,8192,512,1002101,4.185510
Posix,No_XIP,16384,256,777623,5.393750
Posix,No_XIP,32768,128,616089,6.807951
Posix,No_XIP,65536,64,506748,8.276903
Posix,No_XIP,131072,32,549146,7.637867
Posix,No_XIP,262144,16,534374,7.849005
Posix,No_XIP,524288,8,564618,7.428569
Posix,No_XIP,1048576,4,576273,7.278328
Posix,No_XIP,512,8192,11125343,0.377004
Posix,No_XIP,1024,4096,5680505,0.738368
Posix,No_XIP,2048,2048,2985655,1.404819
Posix,No_XIP,4096,1024,1601629,2.618774
Posix,No_XIP,8192,512,1012840,4.141132
Posix,No_XIP,16384,256,774816,5.413290
Posix,No_XIP,32768,128,621873,6.744631
Posix,No_XIP,65536,64,512556,8.183114
Posix,No_XIP,131072,32,548369,7.648689
Posix,No_XIP,262144,16,522387,8.029113
Posix,No_XIP,524288,8,565996,7.410483
Posix,No_XIP,1048576,4,577972,7.256933
Posix,No_XIP,512,8192,11408398,0.367651
Posix,No_XIP,1024,4096,5754554,0.728867
Posix,No_XIP,2048,2048,3021839,1.387997
Posix,No_XIP,4096,1024,1609866,2.605375
Posix,No_XIP,8192,512,995916,4.211504
Posix,No_XIP,16384,256,742296,5.650447
Posix,No_XIP,32768,128,637517,6.579125
Posix,No_XIP,65536,64,546788,7.670805
Posix,No_XIP,131072,32,494863,8.475687
Posix,No_XIP,262144,16,581366,7.214567
Posix,No_XIP,524288,8,539716,7.771317
Posix,No_XIP,1048576,4,534043,7.853869
Posix,No_XIP,512,8192,11319375,0.370542
Posix,No_XIP,1024,4096,5662856,0.740669
Posix,No_XIP,2048,2048,2985038,1.405109
Posix,No_XIP,4096,1024,1571290,2.669338
Posix,No_XIP,8192,512,1007207,4.164292
Posix,No_XIP,16384,256,755801,5.549482
Posix,No_XIP,32768,128,583790,7.184611
Posix,No_XIP,65536,64,558171,7.514371
Posix,No_XIP,131072,32,494475,8.482338
Posix,No_XIP,262144,16,563249,7.446625
Posix,No_XIP,524288,8,568143,7.382479
Posix,No_XIP,1048576,4,532371,7.878536
Posix,No_XIP,512,8192,11125739,0.376991
Posix,No_XIP,1024,4096,5714993,0.733912
Posix,No_XIP,2048,2048,2985460,1.404910
Posix,No_XIP,4096,1024,1592989,2.632977
Posix,No_XIP,8192,512,1009660,4.154175
Posix,No_XIP,16384,256,779796,5.378720
Posix,No_XIP,32768,128,581653,7.211007
Posix,No_XIP,65536,64,551324,7.607693
Posix,No_XIP,131072,32,495982,8.456565
Posix,No_XIP,262144,16,571555,7.338408
Posix,No_XIP,524288,8,565474,7.417324
Posix,No_XIP,1048576,4,535876,7.827005
Posix,No_XIP,512,8192,11406868,0.367700
Posix,No_XIP,1024,4096,5748665,0.729614
Posix,No_XIP,2048,2048,3032361,1.383181
Posix,No_XIP,4096,1024,1587444,2.642174
Posix,No_XIP,8192,512,1011775,4.145491
Posix,No_XIP,16384,256,747175,5.613550
Posix,No_XIP,32768,128,627682,6.682212
Posix,No_XIP,65536,64,516030,8.128024
Posix,No_XIP,131072,32,550005,7.625938
Posix,No_XIP,262144,16,530948,7.899651
Posix,No_XIP,524288,8,537307,7.806159
Posix,No_XIP,1048576,4,580013,7.231397
Posix,No_XIP,512,8192,11250198,0.372820
Posix,No_XIP,1024,4096,5771178,0.726767
Posix,No_XIP,2048,2048,2994250,1.400786
Posix,No_XIP,4096,1024,1588278,2.640787
Posix,No_XIP,8192,512,996178,4.210396
Posix,No_XIP,16384,256,731561,5.733362
Posix,No_XIP,32768,128,629396,6.664014
Posix,No_XIP,65536,64,522213,8.031788
Posix,No_XIP,131072,32,503218,8.334964
Posix,No_XIP,262144,16,566915,7.398471
Posix,No_XIP,524288,8,538002,7.796075
Posix,No_XIP,1048576,4,539100,7.780197
Posix,No_XIP,512,8192,11195550,0.374640
Posix,No_XIP,1024,4096,5808527,0.722094
Posix,No_XIP,2048,2048,2954229,1.419763
Posix,No_XIP,4096,1024,1579230,2.655917
Posix,No_XIP,8192,512,981336,4.274075
Posix,No_XIP,16384,256,754681,5.557718
Posix,No_XIP,32768,128,587722,7.136544
Posix,No_XIP,65536,64,543664,7.714883
Posix,No_XIP,131072,32,488122,8.592737
Posix,No_XIP,262144,16,574485,7.300981
Posix,No_XIP,524288,8,567237,7.394271
Posix,No_XIP,1048576,4,532815,7.871971
Quill,XIP,512,8192,10488393,0.399900
Quill,XIP,1024,4096,4727665,0.887183
Quill,XIP,2048,2048,2506795,1.673174
Quill,XIP,4096,1024,1361506,3.080636
Quill,XIP,8192,512,794410,5.279772
Quill,XIP,16384,256,555262,7.553739
Quill,XIP,32768,128,464602,9.027736
Quill,XIP,65536,64,419130,10.007167
Quill,XIP,131072,32,375347,11.174471
Quill,XIP,262144,16,411876,10.183414
Quill,XIP,524288,8,388376,10.799596
Quill,XIP,1048576,4,480194,8.734603
Quill,XIP,512,8192,10485083,0.400026
Quill,XIP,1024,4096,4730689,0.886616
Quill,XIP,2048,2048,2505538,1.674013
Quill,XIP,4096,1024,1365124,3.072471
Quill,XIP,8192,512,793012,5.289080
Quill,XIP,16384,256,527616,7.949539
Quill,XIP,32768,128,492716,8.512620
Quill,XIP,65536,64,382434,10.967393
Quill,XIP,131072,32,379567,11.050234
Quill,XIP,262144,16,411873,10.183489
Quill,XIP,524288,8,408093,10.277814
Quill,XIP,1048576,4,454940,9.219466
Quill,XIP,512,8192,10467566,0.400695
Quill,XIP,1024,4096,4728421,0.887041
Quill,XIP,2048,2048,2504684,1.674584
Quill,XIP,4096,1024,1364641,3.073559
Quill,XIP,8192,512,773278,5.424057
Quill,XIP,16384,256,548190,7.651187
Quill,XIP,32768,128,464851,9.022900
Quill,XIP,65536,64,405439,10.345093
Quill,XIP,131072,32,383013,10.950814
Quill,XIP,262144,16,427183,9.818518
Quill,XIP,524288,8,388447,10.797622
Quill,XIP,1048576,4,461791,9.082689
Quill,XIP,512,8192,10695733,0.392147
Quill,XIP,1024,4096,4747828,0.883415
Quill,XIP,2048,2048,2523352,1.662195
Quill,XIP,4096,1024,1367891,3.066256
Quill,XIP,8192,512,801122,5.235537
Quill,XIP,16384,256,553834,7.573215
Quill,XIP,32768,128,471688,8.892115
Quill,XIP,65536,64,413323,10.147763
Quill,XIP,131072,32,368619,11.378426
Quill,XIP,262144,16,412098,10.177929
Quill,XIP,524288,8,387422,10.826190
Quill,XIP,1048576,4,480590,8.727406
Quill,XIP,512,8192,10458331,0.401049
Quill,XIP,1024,4096,4706877,0.891101
Quill,XIP,2048,2048,2500544,1.677357
Quill,XIP,4096,1024,1360126,3.083761
Quill,XIP,8192,512,795323,5.273711
Quill,XIP,16384,256,529646,7.919070
Quill,XIP,32768,128,497539,8.430101
Quill,XIP,65536,64,386097,10.863343
Quill,XIP,131072,32,399232,10.505931
Quill,XIP,262144,16,398018,10.537976
Quill,XIP,524288,8,419897,9.988888
Quill,XIP,1048576,4,454394,9.230544
Quill,XIP,512,8192,10494378,0.399672
Quill,XIP,1024,4096,4726202,0.887458
Quill,XIP,2048,2048,2507245,1.672874
Quill,XIP,4096,1024,1360926,3.081949
Quill,XIP,8192,512,795708,5.271160
Quill,XIP,16384,256,548407,7.648159
Quill,XIP,32768,128,472421,8.878318
Quill,XIP,65536,64,382157,10.975343
Quill,XIP,131072,32,410609,10.214837
Quill,XIP,262144,16,397373,10.555080
Quill,XIP,524288,8,401681,10.441878
Quill,XIP,1048576,4,482253,8.697310
Quill,XIP,512,8192,10541809,0.397873
Quill,XIP,1024,4096,4718812,0.888847
Quill,XIP,2048,2048,2506457,1.673400
Quill,XIP,4096,1024,1360938,3.081921
Quill,XIP,8192,512,795629,5.271683
Quill,XIP,16384,256,530402,7.907783
Quill,XIP,32768,128,494477,8.482304
Quill,XIP,65536,64,383694,10.931378
Quill,XIP,131072,32,401641,10.442918
Quill,XIP,262144,16,397476,10.552345
Quill,XIP,524288,8,419625,9.995363
Quill,XIP,1048576,4,469626,8.931158
Quill,XIP,512,8192,10463871,0.400837
Quill,XIP,1024,4096,4728091,0.887103
Quill,XIP,2048,2048,2504347,1.674809
Quill,XIP,4096,1024,1365463,3.071708
Quill,XIP,8192,512,773267,5.424134
Quill,XIP,16384,256,552962,7.585158
Quill,XIP,32768,128,463806,9.043229
Quill,XIP,65536,64,416694,10.065669
Quill,XIP,131072,32,353645,11.860210
Quill,XIP,262144,16,426743,9.828642
Quill,XIP,524288,8,388939,10.783964
Quill,XIP,1048576,4,481274,8.715002
Quill,XIP,512,8192,10485524,0.400009
Quill,XIP,1024,4096,4725750,0.887543
Quill,XIP,2048,2048,2507418,1.672758
Quill,XIP,4096,1024,1361331,3.081032
Quill,XIP,8192,512,796373,5.266758
Quill,XIP,16384,256,545568,7.687958
Quill,XIP,32768,128,474052,8.847772
Quill,XIP,65536,64,383175,10.946184
Quill,XIP,131072,32,366118,11.456153
Quill,XIP,262144,16,397266,10.557923
Quill,XIP,524288,8,404802,10.361372
Quill,XIP,1048576,4,476742,8.797849
Quill,XIP,512,8192,10499198,0.399488
Quill,XIP,1024,4096,4736928,0.885448
Quill,XIP,2048,2048,2510103,1.670969
Quill,XIP,4096,1024,1362406,3.078601
Quill,XIP,8192,512,788821,5.317181
Quill,XIP,16384,256,557175,7.527804
Quill,XIP,32768,128,470993,8.905236
Quill,XIP,65536,64,422040,9.938167
Quill,XIP,131072,32,378457,11.082643
Quill,XIP,262144,16,428356,9.791631
Quill,XIP,524288,8,389288,10.774296
Quill,XIP,1048576,4,482445,8.693849
Posix,XIP,512,8192,4164214,1.007226
Posix,XIP,1024,4096,2561876,1.637200
Posix,XIP,2048,2048,1613198,2.599993
Posix,XIP,4096,1024,1120787,3.742285
Posix,XIP,8192,512,987900,4.245677
Posix,XIP,16384,256,951502,4.408087
Posix,XIP,32768,128,1169861,3.585301
Posix,XIP,65536,64,1153914,3.634850
Posix,XIP,131072,32,1143150,3.669076
Posix,XIP,262144,16,1159964,3.615892
Posix,XIP,524288,8,1158387,3.620814
Posix,XIP,1048576,4,1158163,3.621514
Posix,XIP,512,8192,4401929,0.952833
Posix,XIP,1024,4096,2584136,1.623097
Posix,XIP,2048,2048,1624085,2.582564
Posix,XIP,4096,1024,1096627,3.824732
Posix,XIP,8192,512,990604,4.234087
Posix,XIP,16384,256,919733,4.560350
Posix,XIP,32768,128,1148104,3.653244
Posix,XIP,65536,64,1127990,3.718388
Posix,XIP,131072,32,1154163,3.634066
Posix,XIP,262144,16,1155649,3.629393
Posix,XIP,524288,8,1140120,3.678827
Posix,XIP,1048576,4,1153530,3.636060
Posix,XIP,512,8192,4346803,0.964917
Posix,XIP,1024,4096,2573641,1.629716
Posix,XIP,2048,2048,1603557,2.615625
Posix,XIP,4096,1024,1104806,3.796417
Posix,XIP,8192,512,986334,4.252418
Posix,XIP,16384,256,906486,4.626993
Posix,XIP,32768,128,1153838,3.635089
Posix,XIP,65536,64,1132718,3.702867
Posix,XIP,131072,32,1148066,3.653365
Posix,XIP,262144,16,1152339,3.639818
Posix,XIP,524288,8,1134880,3.695813
Posix,XIP,1048576,4,1156885,3.625515
Posix,XIP,512,8192,4369768,0.959846
Posix,XIP,1024,4096,2570292,1.631839
Posix,XIP,2048,2048,1597967,2.624775
Posix,XIP,4096,1024,1091245,3.843595
Posix,XIP,8192,512,983931,4.262803
Posix,XIP,16384,256,907481,4.621919
Posix,XIP,32768,128,1151090,3.643767
Posix,XIP,65536,64,1127033,3.721545
Posix,XIP,131072,32,1136551,3.690379
Posix,XIP,262144,16,1128379,3.717106
Posix,XIP,524288,8,1156123,3.627905
Posix,XIP,1048576,4,1135204,3.694758
Posix,XIP,512,8192,4387157,0.956041
Posix,XIP,1024,4096,2603018,1.611323
Posix,XIP,2048,2048,1578088,2.657839
Posix,XIP,4096,1024,1128475,3.716789
Posix,XIP,8192,512,958255,4.377023
Posix,XIP,16384,256,949724,4.416340
Posix,XIP,32768,128,1132969,3.702047
Posix,XIP,65536,64,1157739,3.622841
Posix,XIP,131072,32,1118711,3.749229
Posix,XIP,262144,16,1152445,3.639483
Posix,XIP,524288,8,1137235,3.688159
Posix,XIP,1048576,4,1161190,3.612074
Posix,XIP,512,8192,4382056,0.957154
Posix,XIP,1024,4096,2587178,1.621189
Posix,XIP,2048,2048,1616368,2.594894
Posix,XIP,4096,1024,1096821,3.824055
Posix,XIP,8192,512,985363,4.256608
Posix,XIP,16384,256,933606,4.492585
Posix,XIP,32768,128,1158195,3.621414
Posix,XIP,65536,64,1126710,3.722612
Posix,XIP,131072,32,1139146,3.681972
Posix,XIP,262144,16,1127070,3.721423
Posix,XIP,524288,8,1155595,3.629562
Posix,XIP,1048576,4,1134672,3.696490
Posix,XIP,512,8192,4411998,0.950659
Posix,XIP,1024,4096,2576324,1.628019
Posix,XIP,2048,2048,1607469,2.609260
Posix,XIP,4096,1024,1095103,3.830054
Posix,XIP,8192,512,986607,4.251241
Posix,XIP,16384,256,905787,4.630563
Posix,XIP,32768,128,1157442,3.623770
Posix,XIP,65536,64,1145116,3.662777
Posix,XIP,131072,32,1154228,3.633861
Posix,XIP,262144,16,1131651,3.706358
Posix,XIP,524288,8,1159222,3.618206
Posix,XIP,1048576,4,1132795,3.702615
Posix,XIP,512,8192,4389978,0.955427
Posix,XIP,1024,4096,2606110,1.609412
Posix,XIP,2048,2048,1575546,2.662127
Posix,XIP,4096,1024,1128010,3.718322
Posix,XIP,8192,512,955968,4.387494
Posix,XIP,16384,256,941911,4.452973
Posix,XIP,32768,128,1138558,3.683874
Posix,XIP,65536,64,1153520,3.636091
Posix,XIP,131072,32,1144072,3.666119
Posix,XIP,262144,16,1127280,3.720730
Posix,XIP,524288,8,1156064,3.628090
Posix,XIP,1048576,4,1135541,3.693661
Posix,XIP,512,8192,4515139,0.928942
Posix,XIP,1024,4096,2643265,1.586789
Posix,XIP,2048,2048,1600972,2.619848
Posix,XIP,4096,1024,1136769,3.689671
Posix,XIP,8192,512,980929,4.275849
Posix,XIP,16384,256,952950,4.401389
Posix,XIP,32768,128,1156895,3.625484
Posix,XIP,65536,64,1128310,3.717333
Posix,XIP,131072,32,1140335,3.678133
Posix,XIP,262144,16,1129425,3.713663
Posix,XIP,524288,8,1158675,3.619914
Posix,XIP,1048576,4,1154624,3.632615
Posix,XIP,512,8192,4385652,0.956370
Posix,XIP,1024,4096,2568211,1.633162
Posix,XIP,2048,2048,1566796,2.676994
Posix,XIP,4096,1024,1123095,3.734594
Posix,XIP,8192,512,969931,4.324332
Posix,XIP,16384,256,932205,4.499337
Posix,XIP,32768,128,1159975,3.615857
Posix,XIP,65536,64,1124612,3.729557
Posix,XIP,131072,32,1145414,3.661824
Posix,XIP,262144,16,1129059,3.714867
Posix,XIP,524288,8,1158648,3.619998
Posix,XIP,1048576,4,1153722,3.635455
